849325	424662	424662	212331	0	0	0	0	0	0	
424662	849325	212331	424662	0	0	0	0	0	0	
424662	212331	1.80111e+06	900557	475895	237947	0	0	0	0	
212331	424662	900557	1.80111e+06	237947	475895	0	0	0	0	
0	0	475895	237947	1.04896e+06	524478	48583.2	24291.6	0	0	
0	0	237947	475895	524478	1.04896e+06	24291.6	48583.2	0	0	
0	0	0	0	48583.2	24291.6	230828	115414	66830.9	33415.5	
0	0	0	0	24291.6	48583.2	115414	230828	33415.5	66830.9	
0	0	0	0	0	0	66830.9	33415.5	133662	66830.9	
0	0	0	0	0	0	33415.5	66830.9	66830.9	133662	
