0.666667	-0.166667	-0.166667	-0.333333	0	0	0	0	0	0	
-0.166667	0.666667	-0.333333	-0.166667	0	0	0	0	0	0	
-0.166667	-0.333333	1.35	-0.225	-0.283333	-0.341667	0	0	0	0	
-0.333333	-0.166667	-0.225	1.35	-0.341667	-0.283333	0	0	0	0	
0	0	-0.283333	-0.341667	4.05	1.575	-3.31667	-1.68333	0	0	
0	0	-0.341667	-0.283333	1.575	4.05	-1.68333	-3.31667	0	0	
0	0	0	0	-3.31667	-1.68333	6.73333	3.26667	-3.31667	-1.68333	
0	0	0	0	-1.68333	-3.31667	3.26667	6.73333	-1.68333	-3.31667	
0	0	0	0	0	0	-3.31667	-1.68333	3.36667	1.63333	
0	0	0	0	0	0	-1.68333	-3.31667	1.63333	3.36667	
