53364.6	26682.3	26682.3	13341.2	0	0	0	0	0	0	
26682.3	53364.6	13341.2	26682.3	0	0	0	0	0	0	
26682.3	13341.2	113167	56583.7	29901.4	14950.7	0	0	0	0	
13341.2	26682.3	56583.7	113167	14950.7	29901.4	0	0	0	0	
0	0	29901.4	14950.7	65907.9	32953.9	3052.57	1526.29	0	0	
0	0	14950.7	29901.4	32953.9	65907.9	1526.29	3052.57	0	0	
0	0	0	0	3052.57	1526.29	14503.4	7251.68	4199.11	2099.56	
0	0	0	0	1526.29	3052.57	7251.68	14503.4	2099.56	4199.11	
0	0	0	0	0	0	4199.11	2099.56	8398.22	4199.11	
0	0	0	0	0	0	2099.56	4199.11	4199.11	8398.22	
