X		Y		Usc		Ucc		Usr		Ucr
-100000.0000000000	-200000.0000000000	0.0000000000	0.0000000000
0.0000000000	-200000.0000000000	0.0000000000	-0.0000000000
-100000.0000000000	-100000.0000000000	0.0406114665	-0.0708872306
0.0000000000	-100000.0000000000	0.0406114665	-0.0708872306
-100000.0000000000	-20000.0000000000	0.1086457759	-0.1030553463
0.0000000000	-20000.0000000000	0.1086457759	-0.1030553463
-100000.0000000000	-10000.0000000000	0.1204334163	-0.1039612812
0.0000000000	-10000.0000000000	0.1204334163	-0.1039612812
-100000.0000000000	0.0000000000	0.1329997870	-0.1039612812
0.0000000000	0.0000000000	0.1329997870	-0.1039612812
